# Spectral Indices Definitions
# 
#ID  name        units       centr_b   centr_r     pcont_bb  pcont_br    pcont_rb  pcont_rr     latex_name       latex_units  ref.                                                    
000  BL1302      A           1292.000  1312.000    1270.000  1290.000    1345.000  1365.000     BL_{1302}        \AA          3    
001  SiIV        A           1387.000  1407.000    1345.000  1365.000    1475.000  1495.000     SiIV             \AA          3    
002  BL1425      A           1415.000  1435.000    1345.000  1365.000    1475.000  1495.000     BL_{1425}        \AA          3    
003  Fe1453      A           1440.000  1466.000    1345.000  1365.000    1475.000  1495.000     Fe1453           \AA          3    
004  CIV_A       A           1530.000  1550.000    1500.000  1520.000    1577.000  1597.000     C_{IV}^{A}       \AA          3    
005  CIV         A           1540.000  1560.000    1500.000  1520.000    1577.000  1597.000     CIV              \AA          3    
006  CIV_E       A           1550.000  1570.000    1500.000  1520.000    1577.000  1597.000     C_{IV}^{E}       \AA          3    
007  BL1617      A           1604.000  1630.000    1577.000  1597.000    1685.000  1705.000     BL_{1617}        \AA          3    
008  BL1664      A           1651.000  1677.000    1577.000  1597.000    1685.000  1705.000     BL_{1664}        \AA          3    
009  BL1719      A           1709.000  1729.000    1685.000  1705.000    1803.000  1823.000     BL_{1719}        \AA          3    
010  BL1853      A           1838.000  1868.000    1803.000  1823.000    1885.000  1915.000     BL_{1853}        \AA          3    
011  FeII2402    A           2382.000  2422.000    2285.000  2325.000    2432.000  2458.000     FeII2402         \AA          3    
012  BL2538      A           2520.000  2556.000    2432.000  2458.000    2562.000  2588.000     BL_{2538}        \AA          3    
013  FeII2609    A           2596.000  2622.000    2562.000  2588.000    2647.000  2673.000     FeII2609         \AA          3    
014  B2640       break_lb       0.000     0.000    2600.000  2630.000    2645.000  2675.000     B(2640)          dex          7    
015  MgII        A           2784.000  2814.000    2762.000  2782.000    2818.000  2838.000     MgII             \AA          3    
016  MgI         A           2839.000  2865.000    2818.000  2838.000    2906.000  2936.000     MgI              \AA          3    
017  MgUV        bump        2625.000  2725.000    2525.000  2625.000    2725.000  2825.000     Mg_{UV}          dex          4    
018  Mg_wide     A           2670.000  2870.000    2470.000  2670.000    2930.000  3130.000     Mg_{wide}        \AA          3    
019  B2900       break_lb       0.000     0.000    2855.000  2885.000    2915.000  2945.000     B(2900)          dex          7    
020  FeI         A           2965.000  3025.000    2906.000  2936.000    3031.000  3051.000     FeI              \AA          3    
021  BL3096      A           3086.000  3106.000    3031.000  3051.000    3115.000  3155.000     BL_{3096}        \AA          3    
022  CaII_K      A           3925.650  3945.000    3845.000  3880.000    3950.000  3954.000     CaII~K           \AA          9    
023  CaII_H      A           3959.400  3975.000    3950.000  3954.000    3983.000  3993.000     CaII~H           \AA          9    
024  D4000       break_nu       0.000     0.000    3750.000  3950.000    4050.000  4250.000     D4000            dex          5    
025  Dn4000      break_nu       0.000     0.000    3850.000  3950.000    4000.000  4100.000     D_{n}4000        dex          6    
026  Hdelta_A    A           4083.500  4122.250    4041.600  4079.750    4128.500  4161.000     H\delta_A        \AA          2    
027  Hdelta_F    A           4091.000  4112.250    4057.250  4088.500    4114.750  4137.250     H\delta_F        \AA          2    
028  CN1         mag         4142.125  4177.125    4080.125  4117.625    4244.125  4284.125     CN_1             mag          1    
029  CN2         mag         4142.125  4177.125    4083.875  4096.375    4244.125  4284.125     CN_2             mag          1    
030  Ca4227      A           4222.250  4234.750    4211.000  4219.750    4241.000  4251.000     Ca4227           \AA          1    
031  G4300       A           4281.375  4316.375    4266.375  4282.625    4318.875  4335.125     G4300            \AA          1    
032  Hgamma_A    A           4319.750  4363.500    4283.500  4319.750    4367.250  4419.750     H\gamma_A        \AA          2    
033  Hgamma_F    A           4331.250  4352.250    4283.500  4319.750    4354.750  4384.750     H\gamma_F        \AA          2    
034  Fe4383      A           4369.125  4420.375    4359.125  4370.375    4442.875  4455.375     Fe4383           \AA          1    
